age,mass,luminosity,temperature,gravity,radius
0.15,0.002,-6.705,348.0,3.5660000000000003,0.1219
0.15,0.003,-6.394,415.0,3.738,0.1226
0.15,0.004,-6.15,478.0,3.863,0.1226
0.15,0.005,-5.945,538.0,3.9610000000000003,0.1223
0.15,0.006,-5.768,597.0,4.044,0.1219
0.15,0.006999999999999999,-5.6129999999999995,655.0,4.114,0.1214
0.15,0.008,-5.468999999999999,713.0,4.176,0.1209
0.15,0.009000000000000001,-5.327999999999999,774.0,4.23,0.1205
0.15,0.01,-5.1770000000000005,845.0,4.277,0.1203
0.15,0.011000000000000001,-4.913,977.0,4.306,0.122
0.15,0.012,-4.31,1303.0,4.242,0.1373
0.15,0.013000000000000001,-4.276,1326.0,4.272,0.1379
0.15,0.013999999999999999,-4.44,1255.0,4.373,0.1274
0.15,0.015,-4.482,1239.0,4.4239999999999995,0.1245
0.15,0.016,-4.465,1255.0,4.456,0.1238
0.15,0.017,-4.439,1274.0,4.4830000000000005,0.1237
0.15,0.018000000000000002,-4.416,1292.0,4.5089999999999995,0.1236
0.15,0.019,-4.391,1310.0,4.531000000000001,0.1238
0.15,0.02,-4.368,1326.0,4.552,0.1239
0.15,0.022000000000000002,-4.33,1356.0,4.593999999999999,0.1238
0.15,0.024,-4.293,1387.0,4.6339999999999995,0.1235
0.15,0.026000000000000002,-4.225,1445.0,4.672,0.1231
0.15,0.027999999999999997,-4.159,1504.0,4.708,0.1226
0.15,0.03,-4.032,1618.0,4.738,0.1225
0.15,0.033,-3.935,1710.0,4.779,0.1227
0.15,0.035,-3.875,1770.0,4.803,0.1228
0.15,0.038,-3.767,1881.0,4.837,0.1231
0.15,0.04,-3.702,1951.0,4.8580000000000005,0.1232
0.15,0.043,-3.609,2053.0,4.885,0.1238
0.15,0.045,-3.552,2117.0,4.902,0.1243
0.15,0.048,-3.475,2206.0,4.923,0.1252
0.15,0.05,-3.428,2259.0,4.936,0.1259
0.15,0.053,-3.366,2330.0,4.952,0.1273
0.15,0.055,-3.3289999999999997,2372.0,4.963,0.1281
0.15,0.057999999999999996,-3.282,2427.0,4.979,0.1292
